,type,fixed acidity,volatile acidity_big,citric acid_big,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,CpH-103,CpH-101,CpH-102,sulphates,alcohol,quality,pH_bup,sulphates_bup,alcohol_bup,quality_re,type_2,type_of_coluor,quality_re.1,type_dubl,type_of_coluor.1,the_state_manufacturing ,city,manfacutuered_name ,Quantity
1951,white,9.9,1005000,460000,1.4,0.046,34,185,0.9966,3.02,3.02,3.02,0.49,10.2,4,7.59,8.855,10.12,11.385,white,yellow ,12.385,white,yellow ,France,paris,�PERNOD RICARD,4514
1952,white,8.1,310000,360000,8.2,0.028,29,142,0.9925,3.01,3.01,3.01,0.34,13,7,11.995,14.458,16.921,19.384,white,brown ,20.384,white,brown ,Argentina,Buenos Aires,�PERNOD RICARD,4514
1953,white,8.1,240000,380000,4.3,0.044,49,172,0.996,3.37,3.37,3.37,0.74,10.8,6,9.715,11.51,13.305,15.1,white,red,16.1,white,red,France,mancity,�PERNOD RICARD,4514
1954,white,8,250000,130000,17.2,0.036,49,219,0.9996,2.96,2.96,2.96,0.46,9.7,5,8.37,9.906,11.442,12.978,white,black,13.978,white,black,Argentina,"Washington, D.C.",�PERNOD RICARD,4514
1955,white,6.4,290000,280000,11.1,0.063,66,169,0.9973,2.89,2.89,2.89,0.57,9,5,8.055,9.531,11.007,12.483,white,gray,13.483,white,gray,England ,Buenos Aires ,�PERNOD RICARD,4514
1956,white,7.2,150000,330000,1.1,0.027,16,63,0.9937,3.37,3.37,3.37,0.4,9.9,5,8.265,9.704,11.143,12.582,white,greeen ,13.582,white,greeen ,USA,paris,�PERNOD RICARD,4514
1957,white,7,120000,320000,7.2,0.058,22,89,0.9966,3.29,3.29,3.29,0.38,9.2,6,8.955,10.65,12.345,14.04,white,yellow ,15.04,white,yellow ,England ,Buenos Aires,�PERNOD RICARD,4514
1958,white,7.4,320000,550000,16.6,0.056,53,238,1.0017,2.96,2.96,2.96,0.58,8.7,6,8.87,10.594,12.318,14.042,white,brown ,15.042,white,brown ,England ,mancity,�PERNOD RICARD,4514
1959,white,8.5,170000,310000,1,0.024,13,91,0.993,2.79,2.79,2.79,0.37,10.1,5,8.655,10.291,11.927,13.563,white,red,14.563,white,red,England ,"Washington, D.C.",�PERNOD RICARD,4514
1960,white,8.5,170000,310000,1,0.024,13,91,0.993,2.79,2.79,2.79,0.37,10.1,5,8.655,10.291,11.927,13.563,white,black,14.563,white,black,England ,Buenos Aires ,�PERNOD RICARD,4514
1961,white,9.5,210000,470000,1.3,0.039,21,123,0.9959,2.9,2.9,2.9,0.64,9.5,5,8.3,9.816,11.332,12.848,white,gray,13.848,white,gray,England ,paris,�PERNOD RICARD,4514
1962,white,8.2,210000,480000,1.4,0.041,11,99,0.9958,3.17,3.17,3.17,0.57,9.9,5,8.365,9.847,11.329,12.811,white,greeen ,13.811,white,greeen ,England ,Buenos Aires,�PERNOD RICARD,4514
1963,white,7.4,320000,550000,16.6,0.056,53,238,1.0017,2.96,2.96,2.96,0.58,8.7,6,8.87,10.594,12.318,14.042,white,yellow ,15.042,white,yellow ,England ,mancity,�PERNOD RICARD,4514
1964,white,6.8,310000,420000,6.9,0.046,50,173,0.9958,3.19,3.19,3.19,0.46,9,5,7.905,9.302,10.699,12.096,white,brown ,13.096,white,brown ,England ,"Washington, D.C.",�PERNOD RICARD,4514
1965,white,6.8,270000,280000,13.3,0.076,50,163,0.9979,3.03,3.03,3.03,0.38,8.6,6,8.785,10.498,12.211,13.924,white,red,14.924,white,red,England ,Buenos Aires ,�PERNOD RICARD,4514
1966,white,7.4,210000,300000,8.1,0.047,13,114,0.9941,3.12,3.12,3.12,0.35,10.5,6,9.69,11.569,13.448,15.327,white,black,16.327,white,black,England ,paris,�PERNOD RICARD,4514
1967,white,8,230000,350000,9.2,0.044,53,186,0.997,3.09,3.09,3.09,0.56,9.5,7,10.205,12.272,14.339,16.406,white,gray,17.406,white,gray,France,Buenos Aires,�PERNOD RICARD,4514
1968,white,7.6,200000,310000,1.4,0.047,41,142,0.9934,3.43,3.43,3.43,0.53,10.1,6,9.335,11.063,12.791,14.519,white,greeen ,15.519,white,greeen ,France,mancity,�PERNOD RICARD,4514
1969,white,6.3,410000,300000,3.2,0.03,49,164,0.9927,3.53,3.53,3.53,0.79,11.7,7,11.085,13.217,15.349,17.481,white,yellow ,18.481,white,yellow ,France,"Washington, D.C.",�PERNOD RICARD,4514
1970,white,8.3,490000,430000,2.5,0.036,32,116,0.9944,3.23,3.23,3.23,0.47,10.7,6,9.735,11.589,13.443,15.297,white,brown ,16.297,white,brown ,France,Buenos Aires ,�GRUPO PENAFLOR,4514
1971,white,6.3,410000,300000,3.2,0.03,49,164,0.9927,3.53,3.53,3.53,0.79,11.7,7,11.085,13.217,15.349,17.481,white,red,18.481,white,red,France,paris,�CONSTELLATION BRANDS,4514
1972,white,7.6,200000,260000,4.5,0.086,37,133,0.9963,3.15,3.15,3.15,0.42,9.2,5,8.025,9.458,10.891,12.324,white,black,13.324,white,black,France,Buenos Aires,�THE WINE GROUP,4514
1973,white,7.5,260000,260000,18.35,0.084,33,139,1.0011,3.17,3.17,3.17,0.39,8.8,5,7.815,9.205,10.595,11.985,white,gray,12.985,white,gray,USA,mancity,�E & J GALLO,4514
1974,white,7.5,260000,260000,18.35,0.084,33,139,1.0011,3.17,3.17,3.17,0.39,8.8,5,7.815,9.205,10.595,11.985,white,greeen ,12.985,white,greeen ,USA,"Washington, D.C.",TREASURY WINE ESTATE,4514
1975,white,6.8,270000,350000,7.8,0.048,76,197,0.9959,3.24,3.24,3.24,0.43,9.5,6,9.13,10.865,12.6,14.335,white,yellow ,15.335,white,yellow ,USA,Buenos Aires ,TREASURY WINE ESTATE,4514
1976,white,6.8,280000,370000,7,0.057,35,208,0.9973,3.57,3.57,3.57,0.55,10.2,5,8.315,9.709,11.103,12.497,white,brown ,13.497,white,brown ,USA,paris,TREASURY WINE ESTATE,4514
1977,white,8.4,200000,270000,6.3,0.048,30,143,0.9966,3.25,3.25,3.25,0.5,9.1,6,8.925,10.61,12.295,13.98,white,red,14.98,white,red,USA,Buenos Aires,TREASURY WINE ESTATE,4514
1978,white,7.9,330000,260000,1.2,0.044,23,103,0.9932,3.19,3.19,3.19,0.54,10.5,6,9.655,11.494,13.333,15.172,white,black,16.172,white,black,USA,mancity,TREASURY WINE ESTATE,4514
1979,white,7.5,380000,500000,12.8,0.042,57,184,0.9984,3.09,3.09,3.09,0.46,9,6,8.955,10.682,12.409,14.136,white,gray,15.136,white,gray,USA,"Washington, D.C.",TREASURY WINE ESTATE,4514
1980,white,7.6,200000,300000,14.2,0.056,53,212.5,0.999,3.14,3.14,3.14,0.46,8.9,8,10.88,13.182,15.484,17.786,white,greeen ,18.786,white,greeen ,USA,Buenos Aires ,TREASURY WINE ESTATE,4514
1981,white,7.6,200000,300000,14.2,0.056,53,212.5,0.999,3.14,3.14,3.14,0.46,8.9,8,10.88,13.182,15.484,17.786,white,yellow ,18.786,white,yellow ,USA,paris,TREASURY WINE ESTATE,4514
1982,white,7.6,200000,300000,14.2,0.056,53,212.5,0.999,3.14,3.14,3.14,0.46,8.9,8,10.88,13.182,15.484,17.786,white,brown ,18.786,white,brown ,Argentina,Buenos Aires,TREASURY WINE ESTATE,4514
1983,white,7.6,200000,300000,14.2,0.056,53,212.5,0.999,3.14,3.14,3.14,0.46,8.9,8,10.88,13.182,15.484,17.786,white,red,18.786,white,red,France,mancity,�VINA CONCHA Y TORO,4514
1984,white,7.6,200000,300000,14.2,0.056,53,212.5,0.999,3.14,3.14,3.14,0.46,8.9,8,10.88,13.182,15.484,17.786,white,black,18.786,white,black,Argentina,"Washington, D.C.",�VINA CONCHA Y TORO,4514
1985,white,8.1,190000,580000,16.65,0.049,48,181,1.0006,3.2,3.2,3.2,0.62,9.1,6,8.95,10.638,12.326,14.014,white,gray,15.014,white,gray,France,Buenos Aires ,�VINA CONCHA Y TORO,4514
1986,white,7.6,160000,410000,1.9,0.047,27,151,0.9937,3.2,3.2,3.2,0.53,10.1,6,9.45,11.247,13.044,14.841,white,greeen ,15.841,white,greeen ,Argentina,paris,�VINA CONCHA Y TORO,4514
1987,white,8.1,220000,280000,7.7,0.043,57,176,0.9954,3.12,3.12,3.12,0.55,10,5,8.44,9.949,11.458,12.967,white,yellow ,13.967,white,yellow ,England ,Buenos Aires,�VINA CONCHA Y TORO,4514
1988,white,8,220000,320000,10.4,0.043,63,201,0.997,3.11,3.11,3.11,0.53,9.5,6,9.195,10.959,12.723,14.487,white,brown ,15.487,white,brown ,USA,mancity,�VINA CONCHA Y TORO,4514
1989,white,7.1,330000,300000,3.3,0.034,30,102,0.9912,3.08,3.08,3.08,0.31,12.3,7,11.61,13.985,16.36,18.735,white,red,19.735,white,red,England ,"Washington, D.C.",�VINA CONCHA Y TORO,4514
1990,white,6.4,430000,270000,1.1,0.054,5,110,0.9939,3.24,3.24,3.24,0.52,9.1,4,6.93,8.016,9.102,10.188,white,black,11.188,white,black,England ,Buenos Aires ,�VINA CONCHA Y TORO,4514
1991,white,7.6,200000,300000,14.2,0.056,53,212.5,0.999,3.14,3.14,3.14,0.46,8.9,8,10.88,13.182,15.484,17.786,white,gray,18.786,white,gray,England ,paris,�VINA CONCHA Y TORO,4514
1992,white,7,120000,280000,6.3,0.057,17,103,0.9957,3.5,3.5,3.5,0.44,9.6,5,8.05,9.416,10.782,12.148,white,greeen ,13.148,white,greeen ,England ,Buenos Aires,�VINA CONCHA Y TORO,4514
1993,white,7.4,300000,220000,5.25,0.053,33,180,0.9926,3.13,3.13,3.13,0.45,11.6,6,10.235,12.211,14.187,16.163,white,yellow ,17.163,white,yellow ,England ,mancity,�VINA CONCHA Y TORO,4514
1994,white,7,280000,330000,14.6,0.043,47,168,0.9994,3.34,3.34,3.34,0.67,8.8,6,8.73,10.341,11.952,13.563,white,brown ,14.563,white,brown ,England ,"Washington, D.C.",�VINA CONCHA Y TORO,4514
1995,white,8.4,200000,380000,11.8,0.055,51,170,1.0004,3.34,3.34,3.34,0.82,8.9,6,8.78,10.386,11.992,13.598,white,red,14.598,white,red,England ,Buenos Aires ,�VINA CONCHA Y TORO,4514
1996,white,7,280000,330000,14.6,0.043,47,168,0.9994,3.34,3.34,3.34,0.67,8.8,6,8.73,10.341,11.952,13.563,white,black,14.563,white,black,England ,paris,�VINA CONCHA Y TORO,4514
1997,white,8.4,200000,380000,11.8,0.055,51,170,1.0004,3.34,3.34,3.34,0.82,8.9,6,8.78,10.386,11.992,13.598,white,gray,14.598,white,gray,England ,Buenos Aires,CASTEL FRERES,4514
1998,white,8.4,200000,380000,11.8,0.055,51,170,1.0004,3.34,3.34,3.34,0.82,8.9,6,8.78,10.386,11.992,13.598,white,greeen ,14.598,white,greeen ,England ,mancity,CASTEL FRERES,4514
1999,white,7.3,180000,310000,17.3,0.055,32,197,1.0002,3.13,3.13,3.13,0.46,9,6,8.935,10.65,12.365,14.08,white,yellow ,15.08,white,yellow ,France,"Washington, D.C.",CASTEL FRERES,4514
2000,white,6.8,310000,90000,1.4,0.04,56,145,0.9922,3.19,3.19,3.19,0.46,10,5,8.405,9.902,11.399,12.896,white,brown ,13.896,white,brown ,France,Buenos Aires ,CASTEL FRERES,4514
2001,white,6.7,310000,80000,1.3,0.038,58,147,0.9922,3.18,3.18,3.18,0.46,10,5,8.41,9.91,11.41,12.91,white,red,13.91,white,red,France,paris,CASTEL FRERES,4514
2002,white,7.6,170000,350000,1.6,0.047,43,154,0.9934,3.36,3.36,3.36,0.69,11.1,6,9.87,11.703,13.536,15.369,white,black,16.369,white,black,France,Buenos Aires,CASTEL FRERES,4514
2003,white,7.4,300000,220000,5.25,0.053,33,180,0.9926,3.13,3.13,3.13,0.45,11.6,6,10.235,12.211,14.187,16.163,white,gray,17.163,white,gray,France,mancity,CASTEL FRERES,4514
2004,white,7.4,260000,310000,2.4,0.043,58,178,0.9941,3.42,3.42,3.42,0.68,10.6,6,9.59,11.356,13.122,14.888,white,greeen ,15.888,white,greeen ,France,"Washington, D.C.",CASTEL FRERES,4514
2005,white,7,280000,330000,14.6,0.043,47,168,0.9994,3.34,3.34,3.34,0.67,8.8,6,8.73,10.341,11.952,13.563,white,yellow ,14.563,white,yellow ,USA,Buenos Aires ,CASTEL FRERES,4514
2006,white,8.4,200000,380000,11.8,0.055,51,170,1.0004,3.34,3.34,3.34,0.82,8.9,6,8.78,10.386,11.992,13.598,white,brown ,14.598,white,brown ,USA,paris,CASTEL FRERES,4514
2007,white,5.6,180000,310000,1.5,0.038,16,84,0.9924,3.34,3.34,3.34,0.58,10.1,6,9.38,11.13,12.88,14.63,white,red,15.63,white,red,USA,Buenos Aires,CASTEL FRERES,4514
2008,white,7.2,150000,390000,1.8,0.043,21,159,0.9948,3.52,3.52,3.52,0.47,10,5,8.24,9.637,11.034,12.431,white,black,13.431,white,black,USA,mancity,CASTEL FRERES,4514
2009,white,8,400000,330000,7.7,0.034,27,98,0.9935,3.18,3.18,3.18,0.41,12.2,7,11.51,13.835,16.16,18.485,white,gray,19.485,white,gray,USA,"Washington, D.C.",CASTEL FRERES,4514
2010,white,7,250000,560000,2,0.035,20,95,0.9918,3.23,3.23,3.23,0.53,11,6,9.885,11.763,13.641,15.519,white,greeen ,16.519,white,greeen ,USA,Buenos Aires ,CASTEL FRERES,4514
2011,white,7.2,150000,390000,1.8,0.043,21,159,0.9948,3.52,3.52,3.52,0.47,10,5,8.24,9.637,11.034,12.431,white,yellow ,13.431,white,yellow ,USA,paris,CASTEL FRERES,4514
2012,white,6.8,180000,460000,1.4,0.064,37,160,0.9924,3.37,3.37,3.37,0.45,11.1,5,8.865,10.419,11.973,13.527,white,brown ,14.527,white,brown ,USA,Buenos Aires,CASTEL FRERES,4514
2013,white,6.6,320000,220000,16.7,0.046,38,133,0.9979,3.22,3.22,3.22,0.67,10.4,6,9.59,11.397,13.204,15.011,white,red,16.011,white,red,USA,mancity,CASTEL FRERES,4514
2014,white,9,550000,300000,8.1,0.026,14,71,0.993,2.94,2.94,2.94,0.36,11.8,5,9.43,11.192,12.954,14.716,white,black,15.716,white,black,Argentina,"Washington, D.C.",CASTEL FRERES,4514
2015,white,6.9,190000,390000,8,0.028,22,84,0.994,3.11,3.11,3.11,0.66,10.8,6,9.845,11.726,13.607,15.488,white,gray,16.488,white,gray,France,Buenos Aires ,CASTEL FRERES,4514
2016,white,6.3,410000,330000,4.7,0.023,28,110,0.991,3.3,3.3,3.3,0.38,12.5,7,11.6,13.922,16.244,18.566,white,greeen ,19.566,white,greeen ,Argentina,paris,CASTEL FRERES,4514
2017,white,9,550000,300000,8.1,0.026,14,71,0.993,2.94,2.94,2.94,0.36,11.8,5,9.43,11.192,12.954,14.716,white,yellow ,15.716,white,yellow ,France,Buenos Aires,CASTEL FRERES,4514
2018,white,7,200000,340000,2.1,0.049,12,136,0.9922,3.25,3.25,3.25,0.46,11.6,7,11.175,13.414,15.653,17.892,white,brown ,18.892,white,brown ,Argentina,mancity,CASTEL FRERES,4514
2019,white,6.6,320000,220000,16.7,0.046,38,133,0.9979,3.22,3.22,3.22,0.67,10.4,6,9.59,11.397,13.204,15.011,white,red,16.011,white,red,England ,"Washington, D.C.",CASTEL FRERES,4514
2020,white,7.7,260000,340000,6.4,0.05,36,163,0.9937,3.19,3.19,3.19,0.7,11.5,6,10.155,12.078,14.001,15.924,white,black,16.924,white,black,USA,Buenos Aires ,CASTEL FRERES,4514
2021,white,6.3,210000,280000,1.5,0.051,46,142,0.9928,3.23,3.23,3.23,0.42,10.1,6,9.435,11.234,13.033,14.832,white,gray,15.832,white,gray,England ,paris,CASTEL FRERES,4514
2022,white,7.6,340000,390000,7.6,0.04,45,215,0.9965,3.11,3.11,3.11,0.53,9.2,6,9.045,10.779,12.513,14.247,white,greeen ,15.247,white,greeen ,England ,Buenos Aires,CASTEL FRERES,4514
2023,white,6.3,210000,280000,1.5,0.051,46,142,0.9928,3.23,3.23,3.23,0.42,10.1,6,9.435,11.234,13.033,14.832,white,yellow ,15.832,white,yellow ,England ,mancity,CASTEL FRERES,4514
2024,white,8,430000,400000,12.4,0.168,29,190,0.9991,3.07,3.07,3.07,0.64,9.2,5,8.065,9.5,10.935,12.37,white,brown ,13.37,white,brown ,England ,"Washington, D.C.",CASTEL FRERES,4514
2025,white,7.5,300000,710000,1.3,0.16,44,149,0.9948,3.08,3.08,3.08,0.42,8.9,5,7.91,9.334,10.758,12.182,white,red,13.182,white,red,England ,Buenos Aires ,CASTEL FRERES,4514
2026,white,6.4,260000,400000,1.7,0.179,5,60,0.9925,3.09,3.09,3.09,0.54,10.1,5,8.505,10.034,11.563,13.092,white,black,14.092,white,black,England ,paris,CASTEL FRERES,4514
2027,white,6.9,320000,150000,8.1,0.046,51,180,0.9958,3.13,3.13,3.13,0.45,8.9,5,7.885,9.291,10.697,12.103,white,gray,13.103,white,gray,England ,Buenos Aires,CASTEL FRERES,4514
2028,white,8.9,210000,340000,7.1,0.037,33,150,0.9962,3.1,3.1,3.1,0.45,9.7,6,9.3,11.095,12.89,14.685,white,greeen ,15.685,white,greeen ,England ,mancity,CASTEL FRERES,4514
2029,white,7.6,340000,390000,7.6,0.04,45,215,0.9965,3.11,3.11,3.11,0.53,9.2,6,9.045,10.779,12.513,14.247,white,yellow ,15.247,white,yellow ,England ,"Washington, D.C.",CASTEL FRERES,4514
2030,white,9.5,420000,410000,2.3,0.034,22,145,0.9951,3.06,3.06,3.06,0.52,11,6,9.97,11.9,13.83,15.76,white,brown ,16.76,white,brown ,England ,Buenos Aires ,CASTEL FRERES,4514
2031,white,7.6,290000,260000,6.5,0.042,32,160,0.9944,3.14,3.14,3.14,0.47,10.7,5,8.78,10.361,11.942,13.523,white,red,14.523,white,red,France,paris,CASTEL FRERES,4514
2032,white,6.5,250000,200000,1.4,0.024,29,101,0.9916,3.24,3.24,3.24,0.54,10.8,6,9.78,11.634,13.488,15.342,white,black,16.342,white,black,France,Buenos Aires,CASTEL FRERES,4514
2033,white,7.2,230000,330000,12.7,0.049,50,183,0.9987,3.41,3.41,3.41,0.4,9.8,5,8.195,9.612,11.029,12.446,white,gray,13.446,white,gray,France,mancity,CASTEL FRERES,4514
2034,white,7.9,350000,360000,1.6,0.038,11,124,0.9928,3.25,3.25,3.25,0.48,11,5,8.875,10.452,12.029,13.606,white,greeen ,14.606,white,greeen ,France,"Washington, D.C.",CASTEL FRERES,4514
2035,white,8.8,200000,280000,1.1,0.018,18,72,0.9926,2.97,2.97,2.97,0.35,10.4,5,8.715,10.329,11.943,13.557,white,yellow ,14.557,white,yellow ,France,Buenos Aires ,CASTEL FRERES,4514
2036,white,5.7,270000,320000,1.2,0.046,20,155,0.9934,3.8,3.8,3.8,0.41,10.2,6,9.2,10.839,12.478,14.117,white,brown ,15.117,white,brown ,France,paris,CASTEL FRERES,4514
2037,white,7.6,290000,260000,6.5,0.042,32,160,0.9944,3.14,3.14,3.14,0.47,10.7,5,8.78,10.361,11.942,13.523,white,red,14.523,white,red,USA,Buenos Aires,CASTEL FRERES,4514
2038,white,5.5,140000,270000,4.6,0.029,22,104,0.9949,3.34,3.34,3.34,0.44,9,5,7.83,9.184,10.538,11.892,white,black,12.892,white,black,USA,mancity,CASTEL FRERES,4514
2039,white,8.7,240000,350000,0.6,0.042,11,71,0.9926,3.08,3.08,3.08,0.38,10.6,5,8.76,10.358,11.956,13.554,white,gray,14.554,white,gray,USA,"Washington, D.C.",CASTEL FRERES,4514
2040,white,6.7,300000,450000,10.6,0.032,56,212,0.997,3.22,3.22,3.22,0.59,9.5,6,9.14,10.865,12.59,14.315,white,greeen ,15.315,white,greeen ,USA,Buenos Aires ,CASTEL FRERES,4514
2041,white,5.5,140000,270000,4.6,0.029,22,104,0.9949,3.34,3.34,3.34,0.44,9,5,7.83,9.184,10.538,11.892,white,yellow ,12.892,white,yellow ,USA,paris,CASTEL FRERES,4514
2042,white,5.6,130000,270000,4.8,0.028,22,104,0.9948,3.34,3.34,3.34,0.45,9.2,6,8.93,10.603,12.276,13.949,white,brown ,14.949,white,brown ,USA,Buenos Aires,CASTEL FRERES,4514
2043,white,7.4,180000,340000,2.7,0.03,30,107,0.992,2.97,2.97,2.97,0.53,11,6,10.015,11.971,13.927,15.883,white,red,16.883,white,red,USA,mancity,CASTEL FRERES,4514
2044,white,5.7,385000,40000,12.6,0.034,22,115,0.9964,3.28,3.28,3.28,0.63,9.9,6,9.31,11.053,12.796,14.539,white,black,15.539,white,black,USA,"Washington, D.C.",CASTEL FRERES,4514
2045,white,8.7,240000,350000,0.6,0.042,11,71,0.9926,3.08,3.08,3.08,0.38,10.6,5,8.76,10.358,11.956,13.554,white,gray,14.554,white,gray,USA,Buenos Aires ,CASTEL FRERES,4514
2046,white,8.3,330000,430000,9.2,0.046,22,126,0.9982,3.38,3.38,3.38,0.47,9.3,5,7.96,9.329,10.698,12.067,white,greeen ,13.067,white,greeen ,Argentina,paris,CASTEL FRERES,4514
2047,white,6.8,340000,440000,6.6,0.052,28,156,0.9955,3.14,3.14,3.14,0.41,9.6,5,8.23,9.707,11.184,12.661,white,yellow ,13.661,white,yellow ,France,Buenos Aires,CASTEL FRERES,4514
2048,white,6.8,330000,440000,7,0.05,29,155,0.9955,3.14,3.14,3.14,0.42,9.5,5,8.18,9.646,11.112,12.578,white,brown ,13.578,white,brown ,Argentina,mancity,CASTEL FRERES,4514
2049,white,6.3,280000,240000,8.45,0.031,32,172,0.9958,3.39,3.39,3.39,0.57,9.7,7,10.155,12.151,14.147,16.143,white,red,17.143,white,red,France,"Washington, D.C.",CASTEL FRERES,4514
2050,white,11.8,230000,380000,11.1,0.034,15,123,0.9997,2.93,2.93,2.93,0.55,9.7,3,6.385,7.321,8.257,9.193,white,black,10.193,white,black,Argentina,Buenos Aires ,CASTEL FRERES,4514
2051,white,6.8,210000,270000,18.15,0.042,41,146,1.0001,3.3,3.3,3.3,0.36,8.7,5,7.7,9.044,10.388,11.732,white,gray,12.732,white,gray,England ,paris,CASTEL FRERES,4514
2052,white,6.8,210000,270000,18.15,0.042,41,146,1.0001,3.3,3.3,3.3,0.36,8.7,5,7.7,9.044,10.388,11.732,white,greeen ,12.732,white,greeen ,USA,Buenos Aires,CASTEL FRERES,4514
2053,white,8.6,485000,290000,4.1,0.026,19,101,0.9918,3.01,3.01,3.01,0.38,12.4,5,9.695,11.494,13.293,15.092,white,yellow ,16.092,white,yellow ,England ,mancity,CASTEL FRERES,4514
2054,white,8.6,485000,290000,4.1,0.026,19,101,0.9918,3.01,3.01,3.01,0.38,12.4,5,9.695,11.494,13.293,15.092,white,brown ,16.092,white,brown ,England ,"Washington, D.C.",CASTEL FRERES,4514
2055,white,7.3,290000,290000,4.6,0.029,27,155,0.9931,3.07,3.07,3.07,0.26,10.6,6,9.765,11.678,13.591,15.504,white,red,16.504,white,red,England ,Buenos Aires ,CASTEL FRERES,4514
2056,white,6.8,210000,270000,18.15,0.042,41,146,1.0001,3.3,3.3,3.3,0.36,8.7,5,7.7,9.044,10.388,11.732,white,black,12.732,white,black,England ,paris,CASTEL FRERES,4514
2057,white,6.7,310000,310000,4.9,0.031,20,151,0.9926,3.36,3.36,3.36,0.82,12,7,11.32,13.53,15.74,17.95,white,gray,18.95,white,gray,England ,Buenos Aires,CASTEL FRERES,4514
2058,white,7.3,290000,370000,8.3,0.044,45,227,0.9966,3.12,3.12,3.12,0.47,9,5,7.94,9.357,10.774,12.191,white,greeen ,13.191,white,greeen ,England ,mancity,CASTEL FRERES,4514
2059,white,5.7,460000,460000,1.4,0.04,31,169,0.9932,3.13,3.13,3.13,0.47,8.8,5,7.835,9.229,10.623,12.017,white,yellow ,13.017,white,yellow ,England ,"Washington, D.C.",CASTEL FRERES,4514
2060,white,6.8,280000,440000,11.5,0.04,58,223,0.9969,3.22,3.22,3.22,0.56,9.5,5,8.14,9.568,10.996,12.424,white,brown ,13.424,white,brown ,England ,Buenos Aires ,CASTEL FRERES,4514
2061,white,6.7,230000,330000,1.8,0.036,23,96,0.9925,3.32,3.32,3.32,0.4,10.8,6,9.74,11.584,13.428,15.272,white,red,16.272,white,red,England ,paris,CASTEL FRERES,4514
2062,white,6.9,170000,250000,1.6,0.047,34,132,0.9914,3.16,3.16,3.16,0.48,11.4,5,9.12,10.764,12.408,14.052,white,black,15.052,white,black,England ,Buenos Aires,CASTEL FRERES,4514
2063,white,7.6,180000,360000,2.4,0.049,38,123,0.996,3.6,3.6,3.6,0.46,10.3,5,8.35,9.754,11.158,12.562,white,gray,13.562,white,gray,France,mancity,CASTEL FRERES,4514
2064,white,6.6,220000,280000,4.9,0.042,51,180,0.9952,3.3,3.3,3.3,0.75,9.5,6,9.1,10.785,12.47,14.155,white,greeen ,15.155,white,greeen ,France,"Washington, D.C.",CASTEL FRERES,4514
2065,white,7.8,270000,280000,1.8,0.05,21,127,0.9934,3.15,3.15,3.15,0.44,9.9,5,8.375,9.876,11.377,12.878,white,yellow ,13.878,white,yellow ,France,Buenos Aires ,CASTEL FRERES,4514
2066,white,7.7,280000,290000,4.3,0.051,25,142,0.9939,3.16,3.16,3.16,0.39,10.2,5,8.52,10.053,11.586,13.119,white,brown ,14.119,white,brown ,France,paris,CASTEL FRERES,4514
2067,white,7.6,290000,290000,4.4,0.051,26,146,0.9939,3.16,3.16,3.16,0.39,10.2,5,8.52,10.053,11.586,13.119,white,red,14.119,white,red,France,Buenos Aires,CASTEL FRERES,4514
2068,white,5.7,320000,180000,1.4,0.029,26,104,0.9906,3.44,3.44,3.44,0.37,11,6,9.78,11.611,13.442,15.273,white,black,16.273,white,black,France,mancity,CASTEL FRERES,4514
2069,white,7.1,330000,250000,1.6,0.03,25,126,0.9901,3.22,3.22,3.22,0.34,12.1,7,11.44,13.75,16.06,18.37,white,gray,19.37,white,gray,USA,"Washington, D.C.",CASTEL FRERES,4514
2070,white,7.3,340000,300000,1.3,0.057,25,173,0.9948,3.26,3.26,3.26,0.51,9.1,6,8.92,10.601,12.282,13.963,white,greeen ,14.963,white,greeen ,USA,Buenos Aires ,CASTEL FRERES,4514
2071,white,6.5,190000,260000,5.2,0.04,31,140,0.995,3.26,3.26,3.26,0.68,9.5,6,9.12,10.824,12.528,14.232,white,yellow ,15.232,white,yellow ,USA,paris,CASTEL FRERES,4514
2072,white,6.6,230000,270000,5.6,0.043,43,164,0.9953,3.27,3.27,3.27,0.76,9.5,5,8.115,9.508,10.901,12.294,white,brown ,13.294,white,brown ,USA,Buenos Aires,CASTEL FRERES,4514
2073,white,6.6,270000,290000,5.3,0.045,57,189,0.9953,3.31,3.31,3.31,0.79,9.8,5,8.245,9.653,11.061,12.469,white,red,13.469,white,red,USA,mancity,CASTEL FRERES,4514
2074,white,6.6,220000,280000,4.9,0.042,51,180,0.9952,3.3,3.3,3.3,0.75,9.5,6,9.1,10.785,12.47,14.155,white,black,15.155,white,black,USA,"Washington, D.C.",CASTEL FRERES,4514
2075,white,7.6,180000,360000,2.4,0.049,38,123,0.996,3.6,3.6,3.6,0.46,10.3,5,8.35,9.754,11.158,12.562,white,gray,13.562,white,gray,USA,Buenos Aires ,CASTEL FRERES,4514
2076,white,6.8,360000,320000,1.6,0.039,10,124,0.9948,3.3,3.3,3.3,0.67,9.6,5,8.15,9.553,10.956,12.359,white,greeen ,13.359,white,greeen ,USA,paris,CASTEL FRERES,4514
2077,white,7,220000,390000,2.1,0.055,39,198,0.9951,3.52,3.52,3.52,0.54,10.2,6,9.34,11.05,12.76,14.47,white,yellow ,15.47,white,yellow ,USA,Buenos Aires,CASTEL FRERES,4514
